timestamp,max_visibility,roi_0_id,roi_0_edge_density,roi_0_visibility,roi_0_distance,roi_0_label,roi_1_id,roi_1_edge_density,roi_1_visibility,roi_1_distance,roi_1_label,roi_2_id,roi_2_edge_density,roi_2_visibility,roi_2_distance,roi_2_label
2025-04-24 10:31:35,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:31:45,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:31:55,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:32:05,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:32:15,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:32:18,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:32:25,277.2,roi_0,2.74,97.3,100.0,A,roi_1,4.66,190.7,200.0,B,roi_2,7.59,277.2,300.0,XC
2025-04-24 10:32:25,277.2,roi_0,2.74,97.3,100.0,A,roi_1,4.66,190.7,200.0,B,roi_2,7.59,277.2,300.0,XC
2025-04-24 10:32:35,277.2,roi_0,2.74,97.3,100.0,A,roi_1,4.66,190.7,200.0,B,roi_2,7.59,277.2,300.0,XC
2025-04-24 10:32:53,277.1,roi_0,2.74,97.3,100.0,A,roi_1,4.73,190.5,200.0,B,roi_2,7.64,277.1,300.0,XC
2025-04-24 10:33:03,277.1,roi_0,2.74,97.3,100.0,A,roi_1,4.73,190.5,200.0,B,roi_2,7.64,277.1,300.0,XC
2025-04-24 10:33:13,277.1,roi_0,2.74,97.3,100.0,A,roi_1,4.73,190.5,200.0,B,roi_2,7.64,277.1,300.0,XC
2025-04-24 10:33:23,277.1,roi_0,2.74,97.3,100.0,A,roi_1,4.73,190.5,200.0,B,roi_2,7.64,277.1,300.0,XC
2025-04-24 10:33:33,277.1,roi_0,2.74,97.3,100.0,A,roi_1,4.73,190.5,200.0,B,roi_2,7.64,277.1,300.0,XC
2025-04-24 10:33:59,277.1,roi_0,2.74,97.3,100.0,A,roi_1,4.73,190.5,200.0,B,roi_2,7.64,277.1,300.0,XC
2025-04-24 10:34:59,277.1,roi_0,2.74,97.3,100.0,A,roi_1,4.73,190.5,200.0,B,roi_2,7.64,277.1,300.0,XC
2025-04-24 10:35:59,277.1,roi_0,2.74,97.3,100.0,A,roi_1,4.73,190.5,200.0,B,roi_2,7.64,277.1,300.0,XC
2025-04-24 10:36:59,277.1,roi_0,2.74,97.3,100.0,A,roi_1,4.73,190.5,200.0,B,roi_2,7.64,277.1,300.0,XC
2025-04-24 10:37:19,277.1,roi_0,2.74,97.3,100.0,A,roi_1,4.73,190.5,200.0,B,roi_2,7.64,277.1,300.0,XC
2025-04-24 10:37:21,277.1,roi_0,2.74,97.3,100.0,A,roi_1,4.73,190.5,200.0,B,roi_2,7.64,277.1,300.0,XC
2025-04-24 10:37:23,277.1,roi_0,2.74,97.3,100.0,A,roi_1,4.73,190.5,200.0,B,roi_2,7.64,277.1,300.0,XC
2025-04-24 10:37:24,285.0,roi_0,2.72,97.3,100.0,A,roi_1,5.06,189.9,200.0,B,roi_2,5.01,285.0,300.0,XC
2025-04-24 10:37:33,285.0,roi_0,2.72,97.3,100.0,A,roi_1,5.06,189.9,200.0,B,roi_2,5.01,285.0,300.0,XC
2025-04-24 10:37:43,285.0,roi_0,2.72,97.3,100.0,A,roi_1,5.06,189.9,200.0,B,roi_2,5.01,285.0,300.0,XC
2025-04-24 10:37:53,285.0,roi_0,2.72,97.3,100.0,A,roi_1,5.06,189.9,200.0,B,roi_2,5.01,285.0,300.0,XC
2025-04-24 10:38:06,285.0,roi_0,2.72,97.3,100.0,A,roi_1,5.06,189.9,200.0,B,roi_2,5.01,285.0,300.0,XC
2025-04-24 10:38:35,285.0,roi_0,2.72,97.3,100.0,A,roi_1,5.06,189.9,200.0,B,roi_2,5.01,285.0,300.0,XC
2025-04-24 10:38:43,285.0,roi_0,2.72,97.3,100.0,A,roi_1,5.06,189.9,200.0,B,roi_2,5.01,285.0,300.0,XC
2025-04-24 10:38:53,285.0,roi_0,2.72,97.3,100.0,A,roi_1,5.06,189.9,200.0,B,roi_2,5.01,285.0,300.0,XC
2025-04-24 10:39:03,285.0,roi_0,2.72,97.3,100.0,A,roi_1,5.06,189.9,200.0,B,roi_2,5.01,285.0,300.0,XC
2025-04-24 10:39:13,285.0,roi_0,2.72,97.3,100.0,A,roi_1,5.06,189.9,200.0,B,roi_2,5.01,285.0,300.0,XC
2025-04-24 10:39:23,285.0,roi_0,2.72,97.3,100.0,A,roi_1,5.06,189.9,200.0,B,roi_2,5.01,285.0,300.0,XC
2025-04-24 10:39:33,285.0,roi_0,2.72,97.3,100.0,A,roi_1,5.06,189.9,200.0,B,roi_2,5.01,285.0,300.0,XC
